Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
REGENSBURG,,	1718-12-01,,Operational,Operational,Land (fixed),0-20000-0-10776|primary,Europe,,Germany,49.042482,12.101943,365.36,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RADSAMP;RBCN;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radioactive sampling; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,213|938,"GBON:Operational, GOS General:Operational, RBON:Operational",	2024-07-08,Silvia Kothe
REGENSBURG-MITTE (CITY CLIMATE),,	2023-03-13,,Operational,Silent,Land (fixed),0-276-6-19711|primary,Europe,,Germany,49.015661,12.10766,333.25,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,213|938,GOS General:Operational,	2024-05-21,Marc Kinkeldey
RENNINGEN-IHINGER HOF (SECONDARY),,	1936-01-22,,Operational,Unknown,Land (fixed),0-276-3-4160|primary,Europe,,Germany,48.742509,8.923969,478,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,107|2540,GOS General:Operational,	2024-07-23,Silvia Kothe
RHEINAU-MEMPRECHTSHOFEN (SECONDARY),,	1957-09-26,,Operational,Unknown,Land (fixed),0-276-3-4169|primary,Europe,,Germany,48.670276,7.993861,130.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of low altitude,44|1360,GOS General:Operational,	2024-07-29,Silvia Kothe
RHEINE-BENTLAGE,,	1960-11-18,,Operational,Unknown,Land (fixed),0-20000-0-10306|primary,Europe,,Germany,52.288697,7.386643,40,,UTC+1,Geoinformation Service of the German Armed Forces,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;METAR;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF 6,7 & JOURS FERIES;ON/LE 5;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.",Warm Temperate - Fully humid - Warm summer,(unknown)(Surface cover types (IGBP)),,A flat at middle relative elevation within hollows of very low altitude,,GOS General:Operational,	2024-01-12,Marc Kinkeldey
RHEINFELDEN (SECONDARY),,	1937-05-20,,Operational,Unknown,Land (fixed),0-276-3-4175|primary,Europe,,Germany,47.558973,7.772149,282.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of middle altitude,58|1450,GOS General:Operational,	2024-07-30,Silvia Kothe
RHEINSTETTEN,,	1923-05-01,,Operational,Operational,Land (fixed),0-20000-0-10731|primary,Europe,,Germany,48.972627,8.330081,116.06,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of low altitude,330|2338,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-02,Silvia Kothe
ROELLBACH (SECONDARY),,	1936-04-01,,Operational,Unknown,Land (fixed),0-276-3-3319|primary,Europe,,Germany,49.764399,9.253038,238.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,33|940,GOS General:Operational,	2024-08-14,Marc Kinkeldey
ROSENHEIM (SECONDARY),,	1879-01-01,,Operational,Unknown,Land (fixed),0-276-3-4261|primary,Europe,,Germany,47.881852,12.124938,443.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within hills of middle altitude,66|700,GOS General:Operational,	2024-08-14,Marc Kinkeldey
ROSTOCK (RADAR),,	1995-01-02,,Operational,Unknown,Land (fixed),0-20000-0-10169|primary,Europe,,Germany,54.17566,12.058076,1.2,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAREP;RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,A flat (inapplicable) relative elevation within plains (inapplicable),,"GOS General:Operational, WRO:Operational",	2024-01-12,Silvia Kothe
ROSTOCK-WARNEMUENDE,,	1901-01-01,,Operational,Operational,Land (fixed),0-20000-0-10170|primary,Europe,,Germany,54.180279,12.080806,4.78,From map,UTC+1,German Meteorological Service,,,Fully automated measurements only - except radioactive sampling,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,132|468,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-06-13,Marc Kinkeldey
ROTH,,	1940-02-01,,Operational,Operational,Land (fixed),0-20000-0-10765|primary,Europe,,Germany,49.216232,11.103514,385.65,Survey,UTC+1,German Meteorological Service,,,Due to infrastructure works (complete site) only visibility and cloud sensor data will be available (see events at station),Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,59|1750,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
ROTHENBURG OB DER TAUBER (SECONDARY),,	1894-10-01,,Operational,Unknown,Land (fixed),0-276-3-4287|primary,Europe,,Germany,49.384854,10.173232,415,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,17|530,GOS General:Operational,	2024-08-09,Marc Kinkeldey
ROTTWEIL (SECONDARY),,	1888-01-01,,Operational,Unknown,Land (fixed),0-276-3-4300|primary,Europe,,Germany,48.181464,8.635552,588,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,34|930,GOS General:Operational,	2024-07-30,Silvia Kothe
SAARBRUECKEN-ENSHEIM,,	1949-04-01,,Operational,Operational,Land (fixed),0-20000-0-10708|primary,Europe,,Germany,49.212782,7.107653,318.96,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,192|1293,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-12,Marc Kinkeldey
SACHSENHEIM (SECONDARY),,	1944-07-01,,Operational,Unknown,Land (fixed),0-276-3-4349|primary,Europe,,Germany,48.95688,9.071052,251,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,132|2740,GOS General:Operational,	2024-07-31,Silvia Kothe
SANKT PETER-ORDING,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-10028|primary,Europe,,Germany,54.327907,8.603056,4.88,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,(unknown)(Surface cover types (IGBP)),,A flat (inapplicable) relative elevation within plains of very low altitude,5|215,"CLIMAT(C) - deprecated:Closed, GCW affiliated station, GOS General:Operational",	2024-08-16,Silvia Kothe
SCHAUENBURG-ELGERSHAUSEN,,	2013-06-19,,Operational,Operational,Land (fixed),0-20000-0-10441|primary,Europe,,Germany,51.283452,9.358959,317,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,191|1167,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-15,Silvia Kothe
SCHAUINSLAND/FREIBURG,,	1966-07-31,,Silent,Operational,Land (fixed),0-20000-0-10906|primary,Europe,,Germany,47.9139,7.9083,1205,From map,UTC-1,UBA Germany (Federal Environmental Agency),,http://www.bfs.de/DE/themen/ion/notfallschutz/messnetz/ctbto/schauinsland.html,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CTBTO (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Mixed forest(Surface cover types (IGBP)),,A ridge at high relative elevation within hills of high altitude,,GOS General:Non-reporting,	2024-04-05,Silvia Kothe
SCHLEIZ,,	1951-04-01,,Operational,Operational,Land (fixed),0-20000-0-10564|primary,Europe,,Germany,50.567906,11.804085,501.38,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Snow - Fully humid - Warm summer,(unknown)(Surface cover types (IGBP)),,A ridge at high relative elevation within hollows of middle altitude,18|1159,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Silvia Kothe
SCHLESWIG,,	1946-10-01,,Operational,Operational,Land (fixed),0-20000-0-10035|primary,Europe,,Germany,54.527539,9.548666,42.7,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),"Closed (Regular large obstacle COVER (suburb, forest))",(unknown) at middle relative elevation within rises of very low altitude,49|942,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-16,Silvia Kothe
SCHLESWIG-JAGEL,,	1958-12-01,,Operational,Operational,Land (fixed),0-20000-0-10037|primary,Europe,,Germany,54.456985,9.520317,21.3,From map,UTC+1,Geoinformation Service of the German Armed Forces,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;METAR;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF 6,7 & JOURS FERIES;ON/LE 5;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.",Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,50|1006,GOS General:Operational,	2024-03-25,Marc Kinkeldey
SCHLUECHTERN-HEROLZ (SECONDARY),,	1884-06-01,,Operational,Unknown,Land (fixed),0-276-3-4480|primary,Europe,,Germany,50.344656,9.55333,232,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hills of middle altitude,39|1059,GOS General:Operational,	2024-04-04,Silvia Kothe
SCHMUECKE,,	1887-01-01,,Operational,Operational,Land (fixed),0-20000-0-10552|primary,Europe,,Germany,50.654518,10.769601,937.6,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within hills of middle altitude,58|1131,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Silvia Kothe
SCHNEIFELFORSTHAUS (SECONDARY),,	1886-12-01,,Operational,Unknown,Land (fixed),0-276-3-4508|primary,Europe,,Germany,50.296848,6.419387,653,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within valleys of middle altitude,11|476,GOS General:Operational,	2024-05-15,Silvia Kothe
SCHOENHAGEN-BRODERSBY,,	1973-07-01,,Operational,Operational,Land (fixed),0-20000-0-10042|primary,Europe,,Germany,54.640986,10.02377,0.79,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,(unknown)(Surface cover types (IGBP)),,(unknown) at low relative elevation within plains of very low altitude,16|782,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Silvia Kothe
SCHOENWALD-BRUNN (SECONDARY),,	1909-07-16,,Operational,Unknown,Land (fixed),0-276-3-4548|primary,Europe,,Germany,50.184665,12.079139,608,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,23|610,GOS General:Operational,	2024-08-08,Marc Kinkeldey
SCHWAEB. GMUEND-WEILER (SECONDARY),,	2002-07-10,,Operational,Unknown,Land (fixed),0-276-3-6262|primary,Europe,,Germany,48.769466,9.873745,412,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,GOS General:Operational,	2024-08-13,Silvia Kothe
SCHWERIN,,	1849-02-01,,Operational,Operational,Land (fixed),0-20000-0-10162|primary,Europe,,Germany,53.642425,11.387095,58.79,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;CLIMAT(C);M/B;RBCN;RBSN(S);SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,109|539,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-26,Silvia Kothe
SEEHAUSEN,,	1882-05-01,,Operational,Operational,Land (fixed),0-20000-0-10261|primary,Europe,,Germany,52.891088,11.729659,21,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),"Rough (High crops; scattered obstacles, 15 < x/H < 20)",(unknown) at low relative elevation within rises of very low altitude,9|340,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Silvia Kothe
SIMBACH/INN (SECONDARY),,	1916-10-01,,Operational,Unknown,Land (fixed),0-276-3-4706|primary,Europe,,Germany,48.271797,13.027276,357.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of middle altitude,17|510,GOS General:Operational,	2024-08-07,Marc Kinkeldey
SINGEN (SECONDARY),,	2003-07-29,,Operational,Unknown,Land (fixed),0-276-3-6263|primary,Europe,,Germany,47.773799,8.821934,445,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,GOS General:Operational,	2024-08-13,Silvia Kothe
SOLTAU,,	1925-09-01,,Operational,Operational,Land (fixed),0-20000-0-10235|primary,Europe,,Germany,52.960408,9.793049,75.37,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Cropland/Natural vegetation mosaic(Surface cover types (IGBP)),,A flat (inapplicable) relative elevation within plains of very low altitude,27|755,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
STECHLIN-MENZ (SECONDARY),,	2004-10-01,,Operational,Silent,Land (fixed),0-276-3-3509|primary,Europe,,Germany,53.101974,13.042072,78,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,8|359,GOS General:Operational,	2024-03-08,Marc Kinkeldey
STOETTEN,,	1945-10-01,,Operational,Operational,Land (fixed),0-20000-0-10836|primary,Europe,,Germany,48.665587,9.864791,733.76,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within hills of middle altitude,82|2470,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Silvia Kothe
STRAUBING,,	1948-08-01,,Operational,Operational,Land (fixed),0-20000-0-10788|primary,Europe,,Germany,48.827504,12.559695,350.5,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RBCN;RBSN(S);SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of middle altitude,62|1060,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-06-11,Marc Kinkeldey
STUTTGART-ECHTERDINGEN,,	1937-02-15,,Operational,Operational,Land (fixed),0-20000-0-10738|primary,Europe,,Germany,48.688265,9.223548,371,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,458|3859,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-19,Silvia Kothe
STUTTGART/SCHNARRENBERG,,	1957-01-01,,Operational,Operational,Land (fixed),0-20000-0-10739|primary,Europe,,Germany,48.828085,9.200028,314.28,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RADSAMP;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radioactive sampling; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,764|4131,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Silvia Kothe
Schauinsland,,	1988-01-01,,Operational,Unknown,Land (fixed),0-20008-0-SSL|primary,Europe,,Germany,47.9000015259,7.9166665077,1205,,UTC+1,,http://www.env-it.de/umweltbundesamt/luftdaten/index.html,http://geomon.empa.ch/index.php?id=DE03,"The continental station is run by the German Federal Environment Agency (Umweltbundesamt), Dessau. The station is situated on a mountain ridge in the Black Forest, southwest Germany, at an elevation of about 1000 m above the polluted Rhine valley. During night the station is usually above the boundary layer, while at daytime, particularly in summer, Schauinsland station mostly lies within the convective boundary layer. It is a regional GAW station, situated about 15 km southsouthwest of Freiburg and west to the Upper Rhine rift and the French boarder. Annual mean sum of precipitation amount is about 1780 mm. Annual mean temperature is about 5.6 °C. Prevailing wind is southwesterly. The monitoring site ""Schauinsland"" (1205m a.s.l.) is located in the southern part of the Black Forest mountain range near the top of mount Schauinsland, surrounded by forests and meadows.",Warm Temperate - Fully humid - Warm summer,,,,,"EMEP:Operational, GAW Regional:Operational, ICOS:Operational",	2024-02-28,Alex Vermeulen
Steinkimmen,,	2018-11-01,,Operational,Unknown,Land (fixed),0-20008-0-STE|primary,Europe,,Germany,53.043081,8.458761,29,,UTC+1,German Weather Service - Meteorological Observatory at Hohenpeissenberg,,https://www.dwd.de/EN/research/observing_atmosphere/composition_atmosphere/trace_gases/cont_nav/climate_gases_node.html,"The Tall Tower Steinkimmen is situated near the city of Ganderkesee in Lower Saxony, Germany approx. 20km west of Bremen. The surrounding area is very flat with elevations rarely exceeding 100m a.s.l. The land use in this area is dominated by forest and agricultural fields (ca. 20 % and ca. 60 %), lakes cover about 2 %, villages and traffic about 12 %.",Warm Temperate - Fully humid - Warm summer,,,,,"GAW Regional:Operational, ICOS:Operational",	2021-08-09,Matthias Lindauer
TEUSCHNITZ (SECONDARY),,	1920-10-01,,Operational,Unknown,Land (fixed),0-276-3-5017|primary,Europe,,Germany,50.400246,11.38883,633,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,20|550,GOS General:Operational,	2024-08-07,Marc Kinkeldey
THOLEY,,	1975-05-15,,Operational,Operational,Land (fixed),0-20000-0-10706|primary,Europe,,Germany,49.473721,7.038522,386.7,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,83|1626,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Marc Kinkeldey
TIRSCHENREUTH-LODERMUEHL (SECONDARY),,	1892-09-01,,Operational,Unknown,Land (fixed),0-276-3-5046|primary,Europe,,Germany,49.857617,12.354218,500.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,13|410,GOS General:Operational,	2024-08-07,Marc Kinkeldey
TOENISVORST (SECONDARY),,	2004-04-07,,Operational,Unknown,Land (fixed),0-276-3-5064|primary,Europe,,Germany,51.289722,6.443651,37,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,333|5792,GOS General:Operational,	2024-03-21,Silvia Kothe
TRIER-PETRISBERG,,	1937-12-01,,Operational,Operational,Land (fixed),0-20000-0-10609|primary,Europe,,Germany,49.747883,6.658296,265,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RADSAMP;RBCN;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radioactive sampling; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,154|884,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2024-06-20,Marc Kinkeldey
TROLLENHAGEN,,	1970-01-01,,Operational,Operational,Land (fixed),0-20000-0-10281|primary,Europe,,Germany,53.599793,13.303907,68.37,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: .AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,73|373,"CLIMAT(C) - deprecated:Closed, GOS General:Operational",	2024-07-19,Silvia Kothe
